KODE,KATEGORI OBJEK,TAHUN LELANG,PROVINSI,KOTA,KPKNL,kategori_lokasi_jan_jun,kategori_lokasi_jul_des,MEREK,TIPE,TAHUN PEMBUATAN,WARNA, HARGA LAKU 
QUS9GX,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Toyota,STANDART KF 80,1997,Hijau GLP,18000000
RQWZGX,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Toyota,Innova E,2007,Hitam,57176000
VDAOGF,Motor ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Suzuki,Thunder,2006,Hitam,2385000
JINEMK,Mobil ,2024,LAMPUNG,KOTA BANDAR LAMPUNG,KPKNL Bandar Lampung,3,3,Toyota,Kijang Standar,2002,Hijau Tua/Lumut,23995000
UKXOGV,Motor ,2024,JAWA TENGAH,KOTA PEKALONGAN,KPKNL Pekalongan,3,3,Honda, NF 100 SLD 100 cc,2006,Hitam,2600000
GWFKXL,Motor ,2024,JAWA TENGAH,KOTA PEKALONGAN,KPKNL Pekalongan,3,3,Honda,NF 100 D,2003,Hitam,3315000
8WHJMR,Mobil ,2024,JAWA BARAT,KABUPATEN TASIKMALAYA,KPKNL Tasikmalaya,3,3,Toyota, New Avanza 1.3G M/T ,2014,Hitam,88833000
6HAELB,Motor ,2024,JAWA TENGAH,KOTA PEKALONGAN,KPKNL Pekalongan,3,3,Honda,NF 100 SLD ,2006,Hitam,2535000
KCPIGJ,Motor ,2024,JAWA TENGAH,KOTA PEKALONGAN,KPKNL Pekalongan,3,3,Honda,NF 100 SLD 100 cc,2006,Hitam,2795000
LL0DEG,Motor ,2024,JAWA BARAT,KABUPATEN TASIKMALAYA,KPKNL Tasikmalaya,3,3,Honda,Astrea C 100,2000,Hitam,949000
