KODE,KATEGORI OBJEK,TAHUN LELANG,PROVINSI,KOTA,KPKNL,kategori_lokasi_jan_jun,kategori_lokasi_jul_des,MEREK,TIPE,TAHUN PEMBUATAN,WARNA, HARGA LAKU 
6WSY8L,Motor ,2023,SUMATERA UTARA,KOTA BINJAI,KPKNL Medan,1,1,Yamaha,Vixion,2012,Hitam,7777999
HTCO8Q,Motor ,2023,JAWA BARAT,KOTA BANDUNG,KPKNL Bandung,1,2,Yamaha,RX Kinging,2006,Putih,4777999
OEQZIW,Mobil ,2023,JAWA BARAT,KOTA BANDUNG,KPKNL Bandung,1,2,Mitsubishi,FE 3004,2003,Putih,71600000
IYXUFM,Mobil ,2023,JAWA BARAT,KOTA BANDUNG,KPKNL Bandung,1,2,BMW,Sdrive 18I F48 AT 1499 CC,2019,Putih Metalik,353535000
96YNKS,Mobil ,2023,JAWA BARAT,KABUPATEN BEKASI,KPKNL Bekasi,1,4,Toyota,Innova Type G MT 2000 cc,2008,Hitam,93778899
GN8JBR,Mobil ,2023,JAWA BARAT,KOTA BANDUNG,KPKNL Bandung,1,2,Isuzu,Panther,1996,Biru,17899999
SIEHHV,Mobil ,2023,JAWA BARAT,KOTA BANDUNG,KPKNL Bandung,1,2,Suzuki,Carry,2005,Biru Metalik,25500000
7K2HGQ,Mobil ,2023,JAWA BARAT,KOTA BANDUNG,KPKNL Bandung,1,2,Suzuki,Carry,1995,Biru ,4400999
DIWSQZ,Mobil ,2023,JAWA BARAT,KOTA BANDUNG,KPKNL Bandung,1,2,Isuzu,Panther,2000,Merah,27500000
DASFYX,Motor ,2023,JAWA BARAT,KOTA BANDUNG,KPKNL Bandung,1,2,Diablo,200 X,2013,Hijau,2500000
VKH5DU,Motor ,2023,JAWA BARAT,KOTA BANDUNG,KPKNL Bandung,1,2,Diablo,200 X,2013,Hijau,2569999
WGQUQ8,Motor ,2023,JAWA BARAT,KOTA BANDUNG,KPKNL Bandung,1,2,Diablo,200 X,2013,Hijau,2789999
2RHFZI,Motor ,2023,JAWA BARAT,KOTA BANDUNG,KPKNL Bandung,1,2,Diablo,200 X,2013,Hijau,2999999
HHSXN7,Motor ,2023,JAWA BARAT,KOTA BANDUNG,KPKNL Bandung,1,2,Diablo,200 X,2013,Hijau,2519999
NUZTWS,Mobil ,2023,JAWA BARAT,KOTA BANDUNG,KPKNL Bandung,1,2,Nissan,Navara,2009,Hitam,66666666
A250TL,Motor ,2023,JAWA BARAT,KOTA BANDUNG,KPKNL Bandung,1,2,Suzuki,Thunder,2006,Putih,1555999
YXUFM3,Motor ,2023,JAWA BARAT,KOTA BANDUNG,KPKNL Bandung,1,2,Yamaha,VEGA R,2005,Putih,2650000
JSHKBN,Motor ,2023,JAWA BARAT,KOTA BANDUNG,KPKNL Bandung,1,2,Yamaha,RX Kinging ,2006,Putih,7123999
X79LZK,Motor ,2023,KALIMANTAN UTARA,KABUPATEN NUNUKAN,KPKNL Tarakan,3,3,Kawasaki, KLX ,2013,-,5100999
SV9ZT0,Mobil ,2023,KALIMANTAN UTARA,KABUPATEN NUNUKAN,KPKNL Tarakan,3,3,Suzuki,Eskudo,2001,-,15555500
VSKBRK,Mobil ,2023,KALIMANTAN UTARA,KABUPATEN NUNUKAN,KPKNL Tarakan,3,3,Toyota,Kijang LGX,2001,-,15525777
DJ8FLH,Motor ,2023,KALIMANTAN UTARA,KABUPATEN NUNUKAN,KPKNL Tarakan,3,3,Honda,Supra 125,2006,-,865500
5C0PI7,Motor ,2023,KALIMANTAN UTARA,KABUPATEN NUNUKAN,KPKNL Tarakan,3,3,Yamaha,Jupiter Z,2008,-,1810990
LGS2DF,Motor ,2023,MALUKU,KABUPATEN SERAM BAGIAN TIMUR,KPKNL Ambon,3,3,Honda,Beat 110 cc ,2013,-,1849999
F4X3RY,Motor ,2023,KALIMANTAN UTARA,KABUPATEN NUNUKAN,KPKNL Tarakan,3,3,Honda,Supra Fit,2008,-,1019000
72LLWT,Motor ,2023,MALUKU,KOTA TUAL,KPKNL Ambon,3,3,Yamaha,Jupiter Z New 115CC,2010,Biru,1599999
WZORHF,Mobil ,2023,BANTEN,KOTA SERANG,KPKNL Serang,3,3,Toyota,Kijang,2004,Hitam Metalik,34567999
N2GXTY,Mobil ,2023,BANTEN,KOTA SERANG,KPKNL Serang,3,3,Toyota,Corolla Altis 1.8,2007,Hitam Metalik,61005000
FSXCE0,Motor ,2023,BANTEN,KOTA SERANG,KPKNL Serang,3,3,Honda,Revo,2012,Hitam,4768999
BSFONX,Motor ,2023,BANTEN,KOTA SERANG,KPKNL Serang,3,3,Honda,Supra ,2007,Hitam Biru,2768999
BMEDLN,Motor ,2023,BANTEN,KOTA SERANG,KPKNL Serang,3,3,Honda,Mega Pro,2009,Hitam,4674567
E54RMJ,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Honda,NF 125 TR MT,2012,Hitam,5678901
X6LBOT,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Suzuki,A 100 X,2005,Hitam,2209999
VZHZOT,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Suzuki,FK 110 SD (New Smash),2008,Biru Hitam,1556000
UJJKLC,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Yamaha,Jupiter Z,2007,Putih,2260999
V1M0S8,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Honda,GLP III,2000,Hitam,2345678
TVNLWQ,Mobil ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Toyota,KF60,2001,Putih,13750000
RNOOD2,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Yamaha,Jupiter Z,2006,Putih,2635799
QP8GTZ,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Yamaha,4D7 Vega R,2007,Hitam,900099
PCGJMV,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Yamaha,Jupiter Z,2006,Putih,2689999
YPZHVU,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Yamaha,Jupiter Z,2007,Putih,2235679
WXKOEX,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Yamaha,Vega ZR,2010,Merah Maroon,1255000
WNSFML,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Yamaha,Vega R,2007,Merah,1678999
UQKRYL,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Suzuki,FK 110 SD (New Smash),2008,Biru Hitam,1358000
UTNDXF,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Honda,NF 100 SLD (Supra Fit),2006,Hitam,3567899
TYIJNR,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Yamaha,Jupiter Z,2007,Putih,2257999
RAMXCV,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Yamaha,Jupiter Z,2006,Putih,2567899
SKLOA5,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Honda,Supra X,2009,Merah Hitam,5678901
YPCO27,Mobil ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Toyota,"Landcruiser Prado 2,7 AT",2008,Hitam,121411220
VE53KN,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Yamaha,Jupiter Z,2006,Putih,2567899
XUBRQV,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Honda,NF 100 SLD (Supra Fit),2006,Merah Silver,3123456
UAORT8,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Suzuki,FK 110 SD (New Smash),2008,Biru Hitam,2209999
THIDYL,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Honda,GL 160 D (Mega Pro),2009,Hitam,3333433
QRRDWB,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Honda,Revo,2014,Hijau Hitam,1157768
O8WRKG,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Honda,Mega Pro,2009,Hitam,1799999
MRDSLO,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Prisma,Super Bit,2006,Hitam,355555
6GZRHC,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Suzuki,FK 110 SD (New Smash),2008,Biru Hitam,1756000
ZJAW5P,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Prisma,Super X,2006,Hitam,1360000
BSYQD2,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Yamaha,4D7 Vega R,2007,Perak,2111165
4BQYGN,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Yamaha,Jupiter Z,2006,Putih,2246788
DHM3RS,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Honda,Supra Fit,2007,Hitam Hijau,565788
3YDSJS,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Suzuki,FK 110 SD (New Smash),2008,Biru Hitam,1500000
FMMETH,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Yamaha,Jupiter Z,2006,Putih,1399999
DWQM6F,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Honda,Mega Pro,2010,Hitam,4234567
9SUIBO,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Honda,Mega Pro,2009,Hitam,1799999
DRJSEU,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Honda,NF 100 SLD (Supra Fit),2006,Hitam,2567899
1AF0LV,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Honda,NF 100 SLD (Supra Fit),2006,Hitam,3567890
ZXIKQJ,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Suzuki,FK 110 SD (New Smash),2008,Biru Hitam,1512500
KZ69EG,Mobil ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Toyota,Rush,2017,Putih,73000001
DETYKS,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Yamaha,Jupiter Z,2006,Putih,2370999
7CTPZO,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Yamaha,Jupiter Z,2006,Putih,2156789
GHIWWO,Mobil ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Toyota,Camry 3000 AT,2006,Hitam Metalik,48990000
DWJXRH,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Suzuki,FK 110 SD (New Smash),2008,Biru Hitam,2109999
MWH7JC,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Honda,Win MCB,2002,Hitam,3666666
HGO4GT,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Yamaha,4D7 Vega R,2007,Hitam,1358000
GPEF4H,Mobil ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Ford,Ranger 2.5 L,2008,Hitam Metalik,35678999
CIAD6K,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Suzuki,FK 110 SD (New Smash),2008,Biru Hitam,1568000
MM5CKB,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Yamaha,Jupiter Z,2007,Putih,2678999
AFUBBV,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,KTM,APP TM 150-TRX (),2016,Putih,4567899
64RA7V,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Suzuki,FK 110 SD (New Smash),2008,Biru Hitam,3550000
46HOFR,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Yamaha,4D7 Vega R,2007,Hitam,583000
MFVXVY,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Yamaha,Vega ZR,2010,Merah Maroon,955567
J0ZTMM,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Honda,GL 160 D (Mega Pro),2009,Hitam,1599999
HNYFIM,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Suzuki,FK 110 SD (New Smash),2008,Biru Hitam,1300000
CRFHOJ,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Suzuki,FK 110 SD (New Smash),2008,Biru Hitam,1501000
4QDVBS,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Honda,Mega Pro,2000,Hitam,1987654
F90EAX,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Yamaha,Jupiter Z,2006,Putih,2257999
D3H4LK,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Honda,GL 160 D (Mega Pro),2009,Hitam,3333333
CNEWDG,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Yamaha,Jupiter Z,2007,Putih,2459999
73LOIZ,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Yamaha,Jupiter Z,2006,Putih,2346899
KHRBZS,Mobil ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Mitsubishi,Colt L300,1999,Biru,22345678
HM5TBL,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Suzuki,FK 110 SD (New Smash),2008,Biru Hitam,2700000
ELAPFG,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Yamaha,Jupiter Z,2006,Putih,1599999
90SN8F,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Yamaha,Jupiter Z,2009,Putih,2257900
KPJSMZ,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Kawasaki,LX 150C,2012,Hitam,6111111
J2MFQD,Motor ,2023,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,KPKNL Pematang Siantar,3,3,Yamaha,Jupiter Z,2007,Putih,2134567
GEQSJ0,Mobil ,2023,JAWA BARAT,KOTA BEKASI,KPKNL Bekasi,1,4,Suzuki,Katana GX 970cc,1991,Biru,41363000
RAIYGU,Motor ,2023,BANTEN,KABUPATEN SERANG,KPKNL Serang,3,3,Honda,Supra Fit  NF 100 FL ,2005,Hitam Silver,3550000
YMX7GB,Motor ,2023,BANTEN,KABUPATEN SERANG,KPKNL Serang,3,3,Honda,Supra Fit  NF 100 FL ,2006,Biru Putih,2674567
TZLIMW,Mobil ,2023,BANTEN,KABUPATEN SERANG,KPKNL Serang,3,3,Toyota,Kijang Standar KF 80 Long Ben,2002,Biru Metalik,24577899
QMDXP1,Motor ,2023,BANTEN,KABUPATEN SERANG,KPKNL Serang,3,3,Honda,Kirana  ND 125,2003,Biru,4500000
XAHSTY,Motor ,2023,BANTEN,KABUPATEN SERANG,KPKNL Serang,3,3,Suzuki,Smash ,2008,Hitam,2274567
BTN1DO,Mobil ,2023,BANTEN,KABUPATEN SERANG,KPKNL Serang,3,3,Toyota,Kijang Krista,2001,Biru Metalik,20550000
ERDB2A,Mobil ,2023,BANTEN,KABUPATEN SERANG,KPKNL Serang,3,3,Toyota,Light Dump Truck,2005,Merah,40555555
1RVDBK,Mobil ,2023,BANTEN,KABUPATEN SERANG,KPKNL Serang,3,3,Toyota,Kijang KF 80,2004,Silver Metalik,22250000
F2XWXC,Motor ,2023,BANTEN,KABUPATEN SERANG,KPKNL Serang,3,3,Toyota,Pick Up KF 60,2003,Hitam,25300000
ABSDFR,Motor ,2023,BANTEN,KABUPATEN SERANG,KPKNL Serang,3,3,Honda,Kirana ND 125,2003,Biru,4232321
AINRY2,Motor ,2023,BANTEN,KABUPATEN SERANG,KPKNL Serang,3,3,Suzuki,Shogun 125,2010,Biru Hitam,8774567
FEHNWW,Motor ,2023,BANTEN,KABUPATEN SERANG,KPKNL Serang,3,3,Honda,Legenda 2,2002,Hitam,2374567
K1VXIG,Motor ,2023,BANTEN,KABUPATEN SERANG,KPKNL Serang,3,3,Honda,Kirana  ND 125,2004,Hitam,3990000
D8WO5D,Motor ,2023,BANTEN,KABUPATEN SERANG,KPKNL Serang,3,3,Yamaha,Mio Soul GT,2016,Putih,12355678
AFFNRC,Motor ,2023,SUMATERA UTARA,KABUPATEN SAMOSIR,KPKNL Pematang Siantar,3,3,Yamaha,5BP-Z,2009,Hitam,5666666
9GB6B5,Motor ,2023,DKI JAKARTA,KOTA JAKARTA UTARA,KPKNL Jakarta II,2,2,Honda,NF125TR,2007,Hitam,4657999
OXS7VW,Mobil ,2023,LAMPUNG,KABUPATEN PESAWARAN,KPKNL Bandar Lampung,3,3,Ford,Ranger Base 2.2 L Ambulance,2013,Putih,46567500
WIRIAP,Mobil ,2023,LAMPUNG,KABUPATEN PESAWARAN,KPKNL Bandar Lampung,3,3,Hino,110 SDB Microbus,2011,Biru Metalik,66155000
TWLFGQ,Mobil ,2023,LAMPUNG,KABUPATEN PESAWARAN,KPKNL Bandar Lampung,3,3,Toyota,Innova G Minibus,2010,Silver Metalik ,80100000
UZ7TAN,Mobil ,2023,LAMPUNG,KABUPATEN PESAWARAN,KPKNL Bandar Lampung,3,3,Toyota,KF60,2004,Putih,13275555
HSW7NF,Mobil ,2023,LAMPUNG,KABUPATEN PESAWARAN,KPKNL Bandar Lampung,3,3,Mitsubishi,T120SS PU 1.5 FD-R,2012,Hitam,36777000
EBSLQC,Mobil ,2023,LAMPUNG,KABUPATEN PESAWARAN,KPKNL Bandar Lampung,3,3,Daihatsu,F700RG-TX,2013,Putih,85000000
7ENIK9,Mobil ,2023,LAMPUNG,KABUPATEN PESAWARAN,KPKNL Bandar Lampung,3,3,Toyota,Innova G Minibus,2010,Silver Metalik ,90199999
FZJPRD,Mobil ,2023,LAMPUNG,KABUPATEN PESAWARAN,KPKNL Bandar Lampung,3,3,Daihatsu,F700RG-TS,2011,Silver Metalik ,65999999
IML5AO,Mobil ,2023,LAMPUNG,KABUPATEN PESAWARAN,KPKNL Bandar Lampung,3,3,Isuzu,TBR 54 Pickup Turbo Double Cabin,2011,Hitam,47000000
V6HQMI,Motor ,2023,LAMPUNG,KABUPATEN LAMPUNG BARAT,KPKNL Bandar Lampung,3,3,Yamaha,Vega R,2008,Biru,1777777
TGC84Q,Motor ,2023,LAMPUNG,KABUPATEN LAMPUNG BARAT,KPKNL Bandar Lampung,3,3,Yamaha,Vega R,2008,Biru,1777777
XPKMFI,Mobil ,2023,LAMPUNG,KABUPATEN LAMPUNG BARAT,KPKNL Bandar Lampung,3,3,Mitsubishi,Strada 2.5L GLS,2007,Hitam Mika/Silver,57500000
URA9XW,Motor ,2023,LAMPUNG,KABUPATEN LAMPUNG BARAT,KPKNL Bandar Lampung,3,3,Honda,GL 100,1994,Hitam,2555555
TMDDR1,Motor ,2023,LAMPUNG,KABUPATEN LAMPUNG BARAT,KPKNL Bandar Lampung,3,3,Yamaha,YT-115,1996,Hitam,2888000
TIXO6G,Motor ,2023,LAMPUNG,KABUPATEN LAMPUNG BARAT,KPKNL Bandar Lampung,3,3,Yamaha,YT-115,2006,Hitam,3456789
QKD4TP,Motor ,2023,LAMPUNG,KABUPATEN LAMPUNG BARAT,KPKNL Bandar Lampung,3,3,Yamaha,YT-115,1994,Hitam,2555555
YBOLQD,Motor ,2023,LAMPUNG,KABUPATEN LAMPUNG BARAT,KPKNL Bandar Lampung,3,3,Suzuki,TS-125,2005,Biru Putih,14777000
RKLDFX,Mobil ,2023,LAMPUNG,KABUPATEN LAMPUNG BARAT,KPKNL Bandar Lampung,3,3,Kia,K2700,2012,Silver Metalik,22777000
2TXLAV,Mobil ,2023,JAWA TENGAH,KOTA SURAKARTA,KPKNL Surakarta,3,3,Isuzu,Mikro Bus TLD 56,1991,Putih Merah,25200000
L20DQL,Motor ,2023,LAMPUNG,KABUPATEN LAMPUNG BARAT,KPKNL Bandar Lampung,3,3,Suzuki,TS-125,1995,Kuning,13000000
BGKPKL,Mobil ,2023,LAMPUNG,KABUPATEN LAMPUNG BARAT,KPKNL Bandar Lampung,3,3,Toyota,Kijang KF60,2000,Putih,12312023
CLBIXZ,Motor ,2023,LAMPUNG,KABUPATEN LAMPUNG BARAT,KPKNL Bandar Lampung,3,3,Honda,GL 160 D,2006,Hitam,2555555
A6WYOB,Mobil ,2023,JAWA TENGAH,KABUPATEN CILACAP,KPKNL Purwokerto,3,3,Daihatsu,Xenia F 600,2018,Putih,85999999
KUYHEQ,Motor ,2023,LAMPUNG,KABUPATEN LAMPUNG BARAT,KPKNL Bandar Lampung,3,3,Yamaha,Vega R,2008,Biru,1777777
HLOCNG,Mobil ,2023,LAMPUNG,KABUPATEN LAMPUNG BARAT,KPKNL Bandar Lampung,3,3,Toyota,DYNATRUK TANGKI AIR,1999,Kuning,25121923
BE9OGW,Motor ,2023,LAMPUNG,KABUPATEN LAMPUNG BARAT,KPKNL Bandar Lampung,3,3,Yamaha,Vega R,2008,Biru,1777777
MWBOCI,Motor ,2023,LAMPUNG,KABUPATEN LAMPUNG BARAT,KPKNL Bandar Lampung,3,3,Yamaha,Vega R,2008,Biru,1777777
LD5SAY,Mobil ,2023,GORONTALO,KABUPATEN GORONTALO,KPKNL Gorontalo,3,3,Mitsubishi,L 300 ,2007,Hitam,10538000
MUTH0H,Motor ,2023,LAMPUNG,KABUPATEN LAMPUNG BARAT,KPKNL Bandar Lampung,3,3,Yamaha,YT-115,2003,Hitam,7100000
MNBQLV,Motor ,2023,LAMPUNG,KABUPATEN LAMPUNG BARAT,KPKNL Bandar Lampung,3,3,Suzuki,TS-125,2005,Hitam Putih,15555000
RZUV2E,Motor ,2023,SULAWESI TENGAH,KOTA PALU,KPKNL Palu,3,3,Kawasaki,KLX 150 cc,2013,Hitam,10000000
PKNYCQ,Motor ,2023,SULAWESI TENGAH,KOTA PALU,KPKNL Palu,3,3,Kawasaki,LX150G,2015,Hijau,14600000
BTXMFA,Mobil ,2023,SULAWESI TENGAH,KOTA PALU,KPKNL Palu,3,3,Suzuki,GC415V APV DLX AT,2006,Abu - abu Metalik,37115000
AAWY7B,Motor ,2023,JAWA BARAT,KOTA BEKASI,KPKNL Bekasi,1,4,Yamaha,Vega ZR 115cc,2010,Biru,2110000
XRGTAJ,Mobil ,2023,KALIMANTAN TIMUR,KABUPATEN MAHAKAM HULU,KPKNL Samarinda,3,3,Suzuki,Vitara JB 424 W (4X2) MT,2013,-,83000000
XGTEX1,Mobil ,2023,KALIMANTAN TIMUR,KABUPATEN MAHAKAM HULU,KPKNL Samarinda,3,3,Toyota,Hilux 2.5 G DBL CAB 4x4 MT,2015,-,131000000
XIOZEJ,Motor ,2023,SUMATERA UTARA,KABUPATEN PADANG LAWAS UTARA,KPKNL Padang Sidempuan,3,3,Suzuki,Satria F-150,2012,Merah Hitam,1702000
GSRIFP,Motor ,2023,SUMATERA UTARA,KABUPATEN PADANG LAWAS UTARA,KPKNL Padang Sidempuan,3,3,Suzuki,Nex,2015,Biru Putih,4000999
L1HIMW,Mobil ,2023,KALIMANTAN TIMUR,KABUPATEN MAHAKAM HULU,KPKNL Samarinda,3,3,Mitsubishi,Strada CR 2.5 HP-E DC EXC 4x4 MT,2014,-,100000000
2GFA5Z,Motor ,2023,KALIMANTAN TIMUR,KABUPATEN MAHAKAM HULU,KPKNL Samarinda,3,3,Kawasaki,KLX 250,2017,-,11000000
FUUBDY,Motor ,2023,SULAWESI SELATAN,KABUPATEN TANA TORAJA,KPKNL Palopo,3,3,Honda,WIN  MCB,2006,-,1299999
UIQ8DI,Motor ,2023,SULAWESI SELATAN,KABUPATEN TANA TORAJA,KPKNL Palopo,3,3,Honda,NF 100 SE 100cc,2008,-,1459999
ZRAXQX,Motor ,2023,SULAWESI SELATAN,KABUPATEN TANA TORAJA,KPKNL Palopo,3,3,Honda,NF 100 ,2007,-,1299999
RNVFYB,Motor ,2023,SULAWESI SELATAN,KABUPATEN TANA TORAJA,KPKNL Palopo,3,3,Suzuki,Smash 110cc,2008,Biru,1009999
TRYYT3,Motor ,2023,SULAWESI SELATAN,KABUPATEN TANA TORAJA,KPKNL Palopo,3,3,Yamaha,VEGA R 110cc ,2006,-,799999
QPAUZD,Motor ,2023,SULAWESI SELATAN,KABUPATEN TANA TORAJA,KPKNL Palopo,3,3,Honda,NF 100 100cc,2007,-,2299999
Q7I5LN,Motor ,2023,SULAWESI SELATAN,KABUPATEN TANA TORAJA,KPKNL Palopo,3,3,Honda,NF100 SLD,2006,-,1199999
WDEGXQ,Motor ,2023,SULAWESI SELATAN,KABUPATEN TANA TORAJA,KPKNL Palopo,3,3,Honda,GL 100 TD,2008,Hitam,2199999
V0ZKYU,Motor ,2023,SULAWESI SELATAN,KABUPATEN TANA TORAJA,KPKNL Palopo,3,3,Honda,Revo,2009,-,3099999
TGIMEH,Motor ,2023,SULAWESI SELATAN,KABUPATEN TANA TORAJA,KPKNL Palopo,3,3,Honda,Supra X,2007,-,1199999
SCSYJ0,Motor ,2023,SULAWESI SELATAN,KABUPATEN TANA TORAJA,KPKNL Palopo,3,3,Honda,FIT S 100cc,2007,-,3599999
PTBRF5,Motor ,2023,SULAWESI SELATAN,KABUPATEN TANA TORAJA,KPKNL Palopo,3,3,Suzuki,Smash 110cc,2008,-,920099
